ndcg@5,precision@5,recall@5,ndcg@10,precision@10,recall@10,ndcg@20,precision@20,recall@20,ap,rr,query,query_type
0.48522855511632257,0.4,0.06666666666666667,0.4544982762213801,0.4,0.13333333333333333,0.334142714066524,0.25,0.16666666666666666,0.46537589394732254,1.0,enable multi-language support,feature
0.14606834984270645,0.2,0.03333333333333333,0.16104258782393985,0.2,0.06666666666666667,0.13129678963205288,0.15,0.1,0.22414807414807414,0.25,add multi-language support,feature
0.0,0.0,0.0,0.06943122193677728,0.1,0.03333333333333333,0.04890315561952267,0.05,0.03333333333333333,0.10281609195402298,0.125,implement multi-language support,feature
1.0,1.0,0.16666666666666666,0.927673753783468,1.0,0.3333333333333333,0.9091781027868986,0.9,0.6,0.9211791800576434,1.0,integrate social media sharing options,feature
0.8687949224876582,0.8,0.13333333333333333,0.5637884576902257,0.4,0.13333333333333333,0.6323907525412448,0.55,0.36666666666666664,0.6504845508037767,1.0,implement user profile customization options,feature
0.6992148198508501,0.8,0.13333333333333333,0.7382849941414745,0.9,0.3,0.738831869247744,0.85,0.5666666666666667,0.8512835772332277,1.0,implement user role management,feature
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.965128913928069,0.9,0.6,0.9944444444444444,1.0,implement user-defined dashboards,feature
0.8687949224876582,0.8,0.13333333333333333,0.7007731679885375,0.6,0.2,0.5122717285433377,0.35,0.23333333333333334,0.6994913419913419,1.0,implement user role-based access control,feature
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.9461100696333858,0.9,0.6,0.9113168924008073,1.0,integrate real-time collaboration tools,feature
0.06560253875617089,0.2,0.03333333333333333,0.35444084899962636,0.6,0.2,0.3111805569982556,0.4,0.26666666666666666,0.41403617596648157,0.2,enhance user profile customization options,feature
0.5531464700081437,0.4,0.06666666666666667,0.35895421017163476,0.2,0.06666666666666667,0.3280734141543864,0.2,0.13333333333333333,0.3775279171083683,1.0,IndexOutOfBoundsException in ProductService.getProductsByCategory(),specific
0.9269658250786468,1.0,0.18518518518518517,0.9526058178152247,1.0,0.37037037037037035,0.9610458962398155,0.95,0.7037037037037037,0.964595895375694,1.0,TypeError in payment processing module when handling invalid credit card input,specific
1.0,1.0,0.17857142857142858,0.9681896059005243,1.0,0.35714285714285715,0.9765345172593306,0.95,0.6785714285714286,0.9374260488049961,1.0,ConcurrentModificationException in order processing service during bulk updates,specific
0.7227265726449519,0.6,0.10714285714285714,0.46900009332067494,0.3,0.10714285714285714,0.45043087703630064,0.3,0.21428571428571427,0.455781412068112,1.0,TypeError when updating user profile in React app,specific
0.7860137352654724,0.8,0.14814814814814814,0.8611375561264456,0.9,0.3333333333333333,0.7837071607442854,0.65,0.48148148148148145,0.7246379626723137,1.0,TypeError when parsing JSON response in fetchData function,specific
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.9298444383842749,0.85,0.5666666666666667,0.9449947089947088,1.0,Race condition in order processing during high load scenario,specific
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.9471745569034311,0.85,0.5666666666666667,1.0,1.0,IndexOutOfBoundsException in ArrayList processing user input,specific
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.8857598211645691,0.75,0.5,0.9427003561605638,1.0,TypeError when rendering user profile component with missing profile data,specific
1.0,1.0,0.16666666666666666,0.9652843890316114,1.0,0.3333333333333333,0.9520497204018228,0.95,0.6333333333333333,0.9610096404777254,1.0,TypeError in cart checkout process when applying discount code,specific
1.0,1.0,0.18518518518518517,0.9363792118010483,0.9,0.3333333333333333,0.858928176844876,0.7,0.5185185185185185,0.7577179951044193,1.0,TypeError in fetchData function within userProfile.js,specific
0.8539316501572937,0.8,0.13333333333333333,0.693761356516045,0.6,0.2,0.54846549097002,0.4,0.26666666666666666,0.6280476682099401,1.0,optimize database query performance,task
0.21398626473452756,0.2,0.037037037037037035,0.13886244387355456,0.1,0.037037037037037035,0.1424589366190128,0.1,0.07407407407407407,0.21054454992627036,0.5,optimize database queries for performance,task
0.0,0.0,0.0,0.20641593223508908,0.3,0.10714285714285714,0.18256247408447637,0.2,0.14285714285714285,0.21107509311968514,0.14285714285714285,optimize database queries,task
0.5147714448836774,0.6,0.10714285714285714,0.33405144466421566,0.3,0.10714285714285714,0.39040433836915406,0.35,0.25,0.4033014358715881,0.5,NullPointerException in user authentication module,technical
0.5531464700081437,0.4,0.06666666666666667,0.6464018466408364,0.6,0.2,0.52514586284824,0.4,0.26666666666666666,0.5160116966308916,1.0,NullPointerException in user authentication service,technical
1.0,1.0,0.17857142857142858,1.0,1.0,0.35714285714285715,0.9057355356278156,0.75,0.5357142857142857,0.9276160990712075,1.0,NullReferenceException in UserController during authentication process,technical
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.8657668543654852,0.75,0.5,0.9468978937728938,1.0,NullReferenceException in UserService during account creation,technical
1.0,1.0,0.17857142857142858,1.0,1.0,0.35714285714285715,0.9086222726523637,0.75,0.5357142857142857,1.0,1.0,SQLSyntaxError in user authentication module,technical
1.0,1.0,0.16666666666666666,0.8701249883466594,0.8,0.26666666666666666,0.7444355409241785,0.6,0.4,0.8171751188071352,1.0,SQLIntegrityConstraintViolationException on user registration,technical
0.13120507751234178,0.2,0.03571428571428571,0.14876390584057272,0.2,0.07142857142857142,0.22955387978603237,0.25,0.17857142857142858,0.2521164021164021,0.2,NullPointerException in user authentication process,technical
1.0,1.0,0.16666666666666666,0.7846170207230131,0.7,0.23333333333333334,0.5998559175942085,0.45,0.3,0.7312830687830688,1.0,NullPointerException in UserService during authentication process,technical
1.0,1.0,0.16666666666666666,0.9652843890316114,1.0,0.3333333333333333,0.9593267902405632,0.9,0.6,1.0,1.0,NullPointerException in Spring Boot REST controller,technical
0.5087403079104241,0.4,0.07407407407407407,0.47479014188018465,0.4,0.14814814814814814,0.5808996257822581,0.5,0.37037037037037035,0.5474417883864421,1.0,NullReferenceException in user authentication module,technical
0.7129795603441191,0.8,0.13333333333333333,0.6022930948272659,0.6,0.2,0.40886570829607466,0.3,0.2,0.6467331727412373,1.0,something's off with the site,vague
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.854780389939417,0.75,0.5,0.9656299840510366,1.0,something stopped working,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.06220433237097883,0.1,0.06666666666666667,0.09141913319238901,0.09090909090909091,Something's broken on the site.,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.03735223626605197,0.05,0.03333333333333333,0.06666666666666667,0.06666666666666667,something's broken,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,something's not right,vague
0.3391602052736161,0.2,0.03333333333333333,0.2200917662980802,0.1,0.03333333333333333,0.14940894506420788,0.05,0.03333333333333333,1.0,1.0,something's gone wrong,vague
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,something isn't right,vague
0.14606834984270645,0.2,0.03333333333333333,0.13147032541923082,0.2,0.06666666666666667,0.18145347834362072,0.25,0.16666666666666666,0.328387764289296,0.25,something's wrong with my account,vague
0.14606834984270645,0.2,0.03333333333333333,0.09478836436955079,0.1,0.03333333333333333,0.06676319391159659,0.05,0.03333333333333333,0.17261904761904762,0.25,something is off,vague
1.0,1.0,0.16666666666666666,0.9305687780632229,0.9,0.3,0.805686230566816,0.65,0.43333333333333335,0.9589457550996012,1.0,something went wrong,vague
1.0,1.0,0.18518518518518517,0.8669479898642711,0.8,0.2962962962962963,0.7158114826258127,0.55,0.4074074074074074,0.8220149131913839,1.0,implement caching for user profile retrieval,task
0.8274043288765652,1.0,0.16666666666666666,0.7536284914789646,0.9,0.3,0.6746347050364273,0.75,0.5,0.8283897826674529,1.0,optimize database queries for the reporting module,task
0.6992148198508501,0.6,0.1,0.5894280199323519,0.5,0.16666666666666666,0.5204230516387145,0.4,0.26666666666666666,0.5544583644912592,1.0,enhance security measures for data storage,task
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.9442563033587934,0.85,0.5666666666666667,0.8484533869557487,1.0,create automated tests for the checkout process,task
0.48522855511632257,0.4,0.06666666666666667,0.5181190644203318,0.5,0.16666666666666666,0.5512579154911347,0.55,0.36666666666666664,0.5465235432990935,1.0,integrate third-party analytics service,task
1.0,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.9289326888514599,0.8,0.5333333333333333,0.9526309846431796,1.0,document API endpoints for the new feature set,task
1.0,1.0,0.17857142857142858,0.8521705090845474,0.8,0.2857142857142857,0.8062965068244224,0.7,0.5,0.7574969640150435,1.0,resolve memory leaks in the image processing service,task
